WKT,name,latitude,longitude
POINT (101.684562 2.918073),CRAN-PPJ ANNEXE 1,2.918073,101.684562
POINT (101.684274 2.916702),CRAN-PPJ ANNEXE 2,2.916702,101.684274
POINT (101.688444 2.958174),CRAN-PUJ-P1-02,2.958174,101.688444
POINT (101.68866 2.89377),CRAN-PUJ-P1-04,2.89377,101.68866
POINT (101.6724746 2.8853827),CRAN-PUJ-P1-05,2.8853827,101.6724746
POINT (101.68153 2.9072),CRAN-SKMM-P2-19,2.9072,101.68153
POINT (101.67033 2.89861),CRAN-SKMM-P2-20,2.89861,101.67033
POINT (101.66702 2.90044),CRAN-SKMM-P2-22,2.90044,101.66702
POINT (101.6693 2.93054),CRAN-SKMM-P2-24,2.93054,101.6693
POINT (101.68756 2.95327),CRAN-SKMM-P2-26,2.95327,101.68756
POINT (101.700966 2.9310857),CRAN-SKMM-P2-32,2.9310857,101.700966
POINT (101.69363 2.91615),CRAN-SKMM-P2-33,2.91615,101.69363
POINT (101.67684 2.89233),CRAN-SKMM-P2-35,2.89233,101.67684
POINT (101.699268 2.927989),CRAN-PUJ-P1-03,2.927989,101.699268
